,lat,lon,height,rename
1,22.334004,114.268197,115,Lotus Pond
2,22.334412,114.268103,110,
3,22.334769,114.26759,108,
4,22.334569,114.267029,120,
5,22.334604,114.266766,122,
6,22.334469,114.266622,125,Staff Towers 12-14
7,22.334181,114.267283,130,Staff Towers 15
8,22.333941,114.267426,130,Staff Towers 16
9,22.333665,114.267113,135,Tennis Court 8
10,22.333272,114.267631,132,Staff Towers 18-19
11,22.332845,114.267741,130,
12,22.332719,114.267572,135,
13,22.334498,114.266048,125,Tennis Court 7
14,22.334251,114.265361,130,
15,22.334224,114.26501,130,GGT South Entrance
16,22.334104,114.264281,135,GGT Across
17,22.333873,114.263997,136,
18,22.332755,114.265096,157,
19,22.332879,114.265352,157,
20,22.332983,114.265395,157,
21,22.333231,114.265167,153,LSK Entrance1
22,22.333274,114.265488,150,
23,22.333433,114.265252,150,LSK Entrance2
24,22.332779,114.265917,160,Lo Ka Chung Building
25,22.332246,114.266676,160,Conference Lodge
26,22.332658,114.266948,152,
27,22.333008,114.26682,149,
28,22.333745,114.264085,140,
29,22.333388,114.263227,140,
30,22.333388,114.263361,140,South Gate
31,22.333299,114.263455,140,
32,22.33312,114.263283,140,
33,22.334083,114.262808,135,Wave Tunnel Facility
34,22.334564,114.26269,130,
35,22.335477,114.262645,130,
36,22.334637,114.264346,130,
37,22.334399,114.264575,130,
38,22.334265,114.264564,130,Parking Area
39,22.334243,114.264717,130,
40,22.334722,114.26435,130,Tower A
41,22.334975,114.264039,135,
42,22.334935,114.263934,135,CMA Lecture Theater
43,22.335057,114.264369,134,
44,22.335286,114.26443,128,Tower B
45,22.335291,114.264309,130,Biotechnology Center
46,22.335718,114.264252,130,E2I
47,22.335946,114.264241,132,
48,22.33637,114.264262,131,
49,22.336601,114.264251,130,
50,22.336018,114.264798,120,Tower C/UniBar
51,22.336834,114.264597,116,
52,22.336204,114.264886,115,
53,22.337303,114.264898,100,
54,22.336754,114.265064,100,
55,22.337508,114.265112,90,
56,22.337829,114.265022,88,
57,22.338241,114.264598,92,
58,22.338474,114.264582,92,
59,22.338663,114.264679,90,PG Hall II
60,22.339789,114.263955,85,SQ Tower 3-4
61,22.339794,114.263177,103,President's Lodge
62,22.339759,114.263043,105,Car Park
63,22.339831,114.262932,108,Staff Quarters Tower 1
64,22.339784,114.262854,110,Staff Quarters Tower 2
65,22.339066,114.263565,98,
66,22.338236,114.263597,120,
67,22.338978,114.262631,112,Tennis Court 3
68,22.338678,114.262647,118,S H Ho Sports Hall
69,22.337683,114.262958,128,Entrance Plazza
70,22.337374,114.26291,135,
71,22.336848,114.262644,120,HS Bnak
72,22.336843,114.26321,120,UST Restaurant
73,22.337543,114.262816,130,
74,22.338635,114.262277,120,
75,22.338806,114.262087,120,
76,22.338158,114.265446,70,PG Hall I
77,22.338247,114.265573,60,
78,22.338624,114.265439,60,
79,22.338924,114.265442,56,SQ Tower 5-7
80,22.339244,114.265563,48,Staff Quarters Tower 5
81,22.339388,114.265826,45,
82,22.339331,114.266089,40,
83,22.339172,114.266164,40,
84,22.338834,114.266067,41,UG Hall III
85,22.338586,114.266005,41,
86,22.338455,114.266072,38,Outdoor Swiming Pool
87,22.337823,114.266572,30,Hall VII
88,22.337674,114.266454,37,
89,22.337255,114.266494,37,Jockey Club Tower
90,22.337096,114.266432,37,S H Ho Tower
91,22.336776,114.26644,38,
92,22.33754,114.266848,28,Hall II
93,22.337245,114.267202,24,Hall IV
94,22.336571,114.267476,30,
95,22.336415,114.267803,26,UG Hall VIII
96,22.336715,114.267521,26,
97,22.336407,114.268473,15,Hall IX
98,22.337032,114.267832,15,FYT Sports Center
99,22.337297,114.267569,15,
100,22.337954,114.267835,5,
101,22.338046,114.267559,8,Indoor swiming Pool
102,22.338289,114.267307,8,
103,22.3381,114.267041,15,BBQ Site
104,22.337606,114.26931,5,Mini-Soccer Pitch
105,22.337529,114.26938,5,
106,22.336998,114.269235,7,
107,22.336594,114.269109,9,
108,22.336418,114.268884,11,
109,22.337498,114.264836,115,wisodm stone
110,22.337538,114.265549,85,bridge link
111,22.337508,114.266482,40,
L5,22.338611,114.26298,130,
L34,22.338617,114.263969,100,
L7,22.338116,114.263884,130,
L9,22.337719,114.263892,130,
L10-12,22.33762,114.264187,130,
L13-15,22.337357,114.264179,130,
L20,22.336679,114.263308,120,
L21,22.336277,114.263311,120,
L23,22.336034,114.263158,120,
L22,22.336039,114.263397,120,
L24,22.335629,114.263186,122,
L33,22.335259,114.263481,135,
L35-37,22.334628,114.263612,135,
L31-32,22.335134,114.264049,135,
L29-30,22.335649,114.264094,122,
L27-28,22.335927,114.263981,120,
L25-26,22.336483,114.263965,120,
C1,22.33513,114.263843,135,Jockey Club Enterprise Center
C2,22.335621,114.263545,122,Biotechnology Research Inst
C3,22.336025,114.263537,120,
C4,22.336283,114.26354,120,
C5,22.336479,114.263559,120,HKUST Caffe
C6,22.336687,114.26354,120,HKUST Restaurant
C7,22.336743,114.263869,120,
C8,22.336507,114.263864,120,
C9,22.336294,114.263872,120,
C10,22.335964,114.263872,120,Passion
C11,22.335618,114.263865,122,Engineering Commons
